,ava,state,year,area,climate,grapes
0,Sonoita,Arizona,1984,"208,000 acres (84,200 ha)",Subtropical continental,Cabernet Franc|Cabernet Sauvignon|Chardonnay|Malvasia|Merlot|Mourvedre|Petite Sirah|Pinot noir|Riesling|Sangiovese|Sauvignon blanc|Syrah|Tempranillo|Viognier|Zinfandel
1,Willcox,Arizona,,,,
2,Altus,Arkansas,1984,"208,000 acres (84,175 ha)",Humid subtropical,Cabernet Sauvignon|Chardonnay|Kerner|Müller-Thurgau|Muscadine|Niagara|Oraniensteiner|Scheurebe|Vignoles
3,Arkansas Mountain,Arkansas,1986,"2,880,000 acres (1,165,000 ha)",Continental/humid subtropical,Muscadine|Niagara|Catawba
4,Ozark Mountain,Arkansas,"1986, amended 1988","3,520,000 acres (1,424,493 ha)",Continental/humid subtropical,Catawba|Chambourcin|Chardonel|Concord|Norton|St. Vincent|Vidal blanc|Vignoles|Villard noir
5,Arroyo Grande Valley,California,1990,"42,880 acres (17,353 ha)",,Chardonnay|Counoise|Grenache|Mourvedre|Petite Sirah|Pinot blanc|Pinot gris|Pinot noir|Riesling|Sauvignon blanc|Syrah|Tempranillo|Viognier|Zinfandel|Picardan|Malbec|Alicante Bouschet|Carmenere|Barbera|Nebbiolo|Cabernet Franc|Blaufrankisch|Merlot|Picpoul Blanc|Fiano
6,Arroyo Seco,California,"1983, amended in 2006","42,880 acres (17,353 ha)",,Barbera|Cabernet Franc|Cabernet Sauvignon|Chardonnay|Gewurztraminer|Grenache|Merlot|Mourvedre|Muscat Canelli|Pinot blanc|Pinot gris|Pinot noir|Riesling|Sangiovese|Sauvignon blanc|Syrah|Viognier
7,Ballard Canyon,California,2013,,,Syrah|Grenache
8,Ben Lomond Mountain,California,1987,"9,000 acres (36 km2)",,Cabernet Sauvignon|Pinot Noir|Chardonnay|Zinfandel
9,Carmel Valley,California,1982,"19,200 acres (7,770 ha)",,Aleatico|Alicante Bouschet|Cabernet Franc|Cabernet Sauvignon|Carignane|Chardonnay|Chenin blanc|Grenache|Malbec|Merlot|Petit Verdot|Petite Sirah|Pinot noir|Sauvignon blanc|Semillon|Syrah|Zinfandel
10,Central Coast,California,"1985, amended in 1999 and 2006.","100,000 acres (400 km2)",,Albarino|Barbera|Cabernet Franc|Cabernet Sauvignon|Carignane|Chardonnay|Chenin blanc|Cinsault|Counoise|Dolcetto|Gewurztraminer|Grenache|Grenache blanc|Malbec|Malvasia|Marsanne|Merlot|Mondeuse|Mourvedre|Nebbiolo|Orange Muscat|Petit Verdot|Petite Sirah|Pinot gris|Pinot noir|Riesling|Roussanne|Sangiovese|Sauvignon blanc|Semillon|Syrah|Tempranillo|Vermentino|Viognier|Zinfandel
11,Chalone,California,1982,"8,640 acres (3,496 ha)",,Chardonnay|Chenin blanc|Grenache|Pinot blanc|Pinot noir|Sangiovese|Syrah|Viognier
12,Cienega Valley,California,1982,,,Cabernet Franc|Cabernet Pfeffer|Cabernet Sauvignon|Carignane|Chardonnay|Dolcetto|Grenache|Merlot|Negrette|Pinot gris|Pinot noir|Sangiovese|Syrah|Zinfandel
13,Edna Valley,California,"1982, amended in 1987","22,400 acres (9,065 ha)",,Albarino|Chardonnay|Grenache|Merlot|Mourvedre|Petite Sirah|Pinot gris|Pinot noir|Sauvignon blanc|Syrah|Teroldego|Viognier
14,Hames Valley,California,1994,"10,240 acres (4,144 ha)",,Alicante Bouschet|Cabernet Franc|Cabernet Sauvignon|Merlot|Sauvignon blanc|Teroldego
15,Happy Canyon of Santa Barbara,California,"2009,","23,941 acres (9,689 ha)",,Cabernet Franc|Cabernet Sauvignon|Malbec|Merlot|Petit Verdot|Rosé|Sangiovese|Sauvignon blanc|Syrah|Viognier
16,Lamorinda,California,2016,,,Cabernet Sauvignon|Pinot Noir
17,Lime Kiln Valley,California,"1982, amended 1987","2,300 acres (931 ha)",,Mourvedre|Zinfandel
18,Livermore Valley,California,"1982, amended 2006","96,000 acres (38,850 ha)",,Barbera|Cabernet Franc|Cabernet Sauvignon|Chardonnay|Chenin blanc|Cinsault|Colombard|Counoise|Gewurztraminer|Grenache|Malbec|Merlot|Mourvedre|Muscat Canelli|Nebbiolo|Petit Verdot|Petite Sirah|Pinot blanc|Pinot gris|Pinot noir|Roussanne|Sangiovese|Sauvignon blanc|Semillon|Souzao|Syrah|Tempranillo|Touriga Francesa|Touriga Nacional|Viognier|Zinfandel
19,Monterey,California,"1984, amended in 1987","35,758 acres (14,471 ha)",,Albarino|Alvarelhao|Cabernet Sauvignon|Chardonnay|Chenin blanc|Gewurztraminer|Grenache|Malbec|Malvasia|Merlot|Orange Muscat|Petite Sirah|Pinot blanc|Pinot gris|Pinot noir|Riesling|Roussanne|Sangiovese|Sauvignon blanc|Semillon|Souzao|Syrah|Tannat|Tinta Cao|Touriga Nacional|Valdiguie|Viognier|Zinfandel
20,Mt. Harlan,California,1990,"7,440 acres (3,011 ha)",,Aligote|Chardonnay|Pinot noir|Viognier
21,Pacheco Pass,California,1984,"3,200 acres (1,295 ha)",,Black Muscat|Chardonnay|Merlot|Zinfandel
22,Paicines,California,1982,"42,880 acres (17,353 ha)",,Arneis|Cabernet Franc|Cabernet Sauvignon|Chardonnay|Malbec|Merlot|Petit Verdot|Syrah
