,url
0,https://www.winemag.com/buying-guide/lucia-2017-garys-vineyard-pinot-noir-santa-lucia-highlands/
1,https://www.winemag.com/buying-guide/laetitia-2016-la-coupelle-pinot-noir-arroyo-grande-valley/
2,https://www.winemag.com/buying-guide/lucia-2017-soberanes-vineyard-pinot-noir-santa-lucia-highlands/
3,https://www.winemag.com/buying-guide/gary-farrell-2016-rochioli-allen-vineyards-pinot-noir-russian-river-valley/
4,https://www.winemag.com/buying-guide/gary-farrell-2016-lancel-creek-vineyard-pinot-noir-russian-river-valley/
5,https://www.winemag.com/buying-guide/laetitia-2016-les-galets-pinot-noir-arroyo-grande-valley/
6,https://www.winemag.com/buying-guide/carlisle-2016-piner-olivet-ranches-zinfandel-russian-river-valley/
7,https://www.winemag.com/buying-guide/cobb-2016-diane-cobb-coastlands-vineyard-pinot-noir-sonoma-coast/
8,https://www.winemag.com/buying-guide/styring-2015-wit-reserve-estate-pinot-noir-ribbon-ridge/
9,https://www.winemag.com/buying-guide/freeman-2016-yu-ki-estate-pinot-noir-sonoma-coast/
10,https://www.winemag.com/buying-guide/mueller-2016-estate-cabernet-sauvignon-diamond-mountain-district/
11,https://www.winemag.com/buying-guide/ponzi-2016-abetina-2-vineyard-pinot-noir-chehalem-mountains/
12,https://www.winemag.com/buying-guide/wallis-family-estate-2016-seraphim-cabernet-sauvignon-diamond-mountain-district/
13,https://www.winemag.com/buying-guide/the-debate-2015-beckstoffer-missouri-hopper-cabernet-sauvignon-napa-valley/
14,https://www.winemag.com/buying-guide/whitcraft-2017-shokrian-vineyard-pinot-noir-santa-barbara-county/
15,https://www.winemag.com/buying-guide/anaba-2016-sangiacomo-roberts-road-vineyard-pinot-noir-petaluma-gap/
16,https://www.winemag.com/buying-guide/cobb-2016-rice-spivak-vineyard-pinot-noir-sonoma-coast/
17,https://www.winemag.com/buying-guide/heitz-2013-trailside-vineyard-cabernet-sauvignon-napa-valley/
18,https://www.winemag.com/buying-guide/stolo-2017-estate-syrah-san-luis-obispo-county/
19,https://www.winemag.com/buying-guide/stone-the-crows-2016-three-twins-vineyard-cabernet-sauvignon-napa-valley/
20,https://www.winemag.com/buying-guide/the-debate-2015-beckstoffer-to-kalon-cabernet-sauvignon-napa-valley/
21,https://www.winemag.com/buying-guide/les-belles-collines-2014-les-sommets-cabernet-sauvignon-napa-valley/
22,https://www.winemag.com/buying-guide/little-giant-2015-lamonica-cabernet-sauvignon-napa-valley/
23,https://www.winemag.com/buying-guide/waits-mast-2015-mariah-vineyard-pinot-noir-mendocino-ridge/
24,https://www.winemag.com/buying-guide/cobb-2017-vonarburg-vineyard-riesling-anderson-valley/
25,https://www.winemag.com/buying-guide/falcone-nv-annate-ix-red-paso-robles/
26,https://www.winemag.com/buying-guide/schramsberg-2010-j-schram-rose-north-coast/
27,https://www.winemag.com/buying-guide/benovia-2015-blanc-de-noir-sparkling-russian-river-valley/
28,https://www.winemag.com/buying-guide/cobb-2016-emmaline-ann-vineyard-pinot-noir-sonoma-coast/
29,https://www.winemag.com/buying-guide/cobb-2016-jack-hill-vineyard-pinot-noir-sonoma-coast/
30,https://www.winemag.com/buying-guide/lucia-2017-pinot-noir-santa-lucia-highlands/
31,https://www.winemag.com/buying-guide/patricia-green-cellars-2017-volcanic-pinot-noir-dundee-hills/
32,https://www.winemag.com/buying-guide/terminim-2017-cepages-dor-alder-springs-vineyard-marsanne-roussanne-mendocino-county/
33,https://www.winemag.com/buying-guide/v-vineyards-2015-audace-ruby-vineyard-cabernet-sauvignon-sonoma-county/
34,https://www.winemag.com/buying-guide/axr-2015-madrone-vineyard-cabernet-sauvignon-napa-valley/
35,https://www.winemag.com/buying-guide/ayoub-2016-brittan-vineyard-pinot-noir-mcminnville/
36,https://www.winemag.com/buying-guide/calla-lily-2014-audax-cabernet-sauvignon-napa-valley/
37,https://www.winemag.com/buying-guide/carlisle-2016-limerick-lane-vineyard-zinfandel-russian-river-valley/
38,https://www.winemag.com/buying-guide/donum-2016-year-of-the-monkey-single-vineyard-pinot-noir-russian-river-valley/
